diikutin,diikuti
nope,tidak
diingetin,diingatkan
diinjek,diinjak
diitung,dihitung
dijadiin,dijadikan
dijakarta,di jakarta
o,o
dijalan,di jalan
dikadalin,dikadali
dikasi,dikasih
dikedua,di kedua
sehatmu,sehat
dikipasin,dikipasi
dikit,sedikit
diktaktor,diktator
dilayan,dilayani
dilayanin,dilayani
dilepasin,dilepaskan
diliat,dilihat
diluar,di luar
dimaklumin,dimaklumi
dimalaysia,di malaysia
dimarahin,dimarahi
dimasa,di masa
dimasukin,dimasuki
dimedan,di medan
dimples,lesung pipi
dimute,disenyapkan
dinegeri,di negeri
dingertiin,dimengerti
dinungo,doa
dinyinyirin,dinyinyiri
diormas,di organisasi masyarakat
dipake,dipakai
dipantat,di pantat
dipasangin,dipasangkan
dipenjara,di penjara
diphk,dipecat
dipiara,dipelihara
dipimpinulama,dipimpin ulama
diporakporandakan,diporakporandakan
diracuni,diracun
diradio,di radio
direzim,di rezim
diributin,diributkan
dirjen,direktur jenderal
dirohingnya,di rohingya
dirumah,di rumah
dirut,direktur utama
disaat,di saat
disalahin,disalahkan
taulah,tau
ademnya,adem
disam,disama
disana,di sana
disebelah,di sebelah
disebuah,di sebuah
disemua,di semua
handbody,lotion
disholatin,disalati
disini,di sini
disisi,di sisi
disitu,di situ
diskrening,diskrining
diskusikde,diskusi
disni,di sini
ntah,entah
sisaan,sisa
disulut,di sulawesi utara
ntar,nanti
ntb,nusa tenggara barat
ditanggepi,ditanggapi
ditanggepin,ditanggapi
ditanyain,ditanyakan
dikon,diskon
ditawarin,ditawari
ditemuin,ditemukan
ditepi,di tepi
e,e
nti,nanti
diteriakin,diteriaki
ditidurin,ditiduri
ditungguin,ditunggu
diushakan,diusahakan
ntr,nanti
dizholimi,dizalimi
dkat,dekat
dki,daerah khusus ibukota
nuduh,menuduh
nuh,nuh
dkk,dan kawan kawan
nulis,menulis
dkung,dukung
dl,dulu
numpang,menumpang
dll,dan lain lain
numpuk,menumpuk
dlm,dalam
nunggak,menunggak
nunggu,menunggu
dlu,dulu
dluu,dulu
dm,direct message
nurull,nurul
dmn,di mana
dmna,di mana
dn,dan
dng,dengan
nusuk,menusuk
nutup,menutup
dngn,dengan
doain,doakan
doang,saja
doank,doang
doer,dower
doesn,does not
dog,dog
doh,aduh
doi,dia
ny,nya
dok,dokumen
nyaaa,nya
nyadar,menyadari
don,do not
donal,donald
dongo,dungu
dongok,dungu
nyalahin,menyalahkan
donk,dong
nyamar,menyamar
dont,do not
nyambung,menyambung
dool,doll
nyampe,sampai
nyampah,menyampah
dorg,dog
nyampur,mencampur
nyang,yang
nyanggup,menyanggupi
dosaa,dosa
doyan,suka
dp,uang muka
nyantai,bersantai
nyangkutnya,menyangkutnya
nyapres,mencalonkan presiden
dpkir,dipikir
nyari,mencari
nyasar,menyasar
dpr,dewan perwakilan rakyat
nyatain,menyatakan
dprd,dewan perwakilan rakyat daerah
dpt,dapat
nye,nya
dr,dari
nyebarin,menyebarkan
nyebelin,menyebalkan
nyebur,mencebur
nyebut,menyebut
dri,dari
drii,dari
nyekek,mencekik
nyela,menyela
nyelip,terselip
drpd,daripada
nyembah,menyembah
dsana,di sana
dsar,dasar
dsb,dan sebagainya
dsna,disana
dsnajib,dis najib
nyerah,menyerah
nyerang,menyerang
dst,dan seterusnya
nyesal,menyesal
nyet,monyet
nyetak,mencetak
nyetel,menyetel
dtg,datang
nyetriming,menyetreaming
nyiapin,menyiapkan
dtr,datar
dtrma,diterima
nyimpan,menyimpan
duabelas,dua belas
nyinggung,menyinggung
dubes,duta besar
nyinyirin,nyinyir
nyinyit,nyinyir
